ZAKŁAD;SUPPLIER;"2.
 PART NUMBER";ID_SAP;"3.
NAME OF THE PART";KLIENT;"4.
  PART CLASIFICATION";"5.
PPM PERFORMANCE ";"6.
 CERTYFICATE";"7.
 APPROVAL";"8.
 AUDIT RESULT";"9.
 PSCR";"10.
 LOCATION";"11.
DELIVERY SCHEDULES";"12.
 NUMBER OF INTERFERENCE";"13.
 COLLABORATION";"14.
 SCORE P/N";"15.
 SUPPLIER SCORE";"16.
 SUPPLIER CLASIFICATION";ID
PSAPT;3DL ITALIA SRL;884101300;5109918;PROFIL GUMOWY 26x20 Q8 RS;VW;A;100;100;100;100;100;80;100;100;100;97,77777778;97,77777778;A;107
PSAPT;3DL ITALIA SRL;884103700;5109918;PROFIL GUMOWY 26x20 Q8 BASIS/SLINE;VW;A;100;100;100;100;100;80;100;100;100;97,77777778;;;107
PSAPT;3M;138101015N;5108631;PRIMER 4298 UV conf. 4Oz (118 ml);VW;B;100;100;100;100;100;100;100;100;100;100;97,43589744;A;108
PSAPT;3M;880912210N;5108631;TAŚMA 3M PT1500T H=10mm GR=1,5 600M;VW;B;100;100;100;100;100;100;0;100;100;88,88888889;;;108
PSAPT;3M;880915000N;5108631;TAŚMA 3M GT6012F H=10 GR.1,2mm  66MT;VW;B;100;100;100;100;100;100;0;100;100;88,88888889;;;108
PSAPT;3M;880918200N;5108631;TAŚMA 3M GT6008 H=10mm GR.0,8mm 110MT;VW;B;100;100;100;100;100;100;0;100;100;88,88888889;;;108
PSAPT;3M;880918600;5108631;TAŚMA 3M GT6012F H=8 GR.1,2mm  66MT;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880920710;5108631;PROFIL 3M NADKOLE DRZWI SX BASIS/SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880920810;5108631;PROFIL 3M NADKOLE DRZWI DX BASIS/SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880921300;5108631;PROFIL 3M LISTWA PRZ.SX 1.2x55x18 SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880921400;5108631;PROFIL 3M LISTWA PRZ.DX 1.2x55x18 SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880921500;5108631;PROFIL 3M LISTWA TYL.SX 1.2x60x26 SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;880921600;5108631;PROFIL 3M LISTWA TYL.DX 1.2x60x26 SLINE;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;888994400;5108631;KOŃCÓWKA ODRYWAJĄCA 3M 25x50MM;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;3M;888994800;5108631;KOŃCÓWKA ODRYWAJĄCA 3M 8x80MM ZIELONA;VW;B;100;100;100;100;100;100;100;100;100;100;;;108
PSAPT;5104678    ALBIS POLSKA;NLS0060202;5104678;PP 50.60L KOL.NATUR.;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;100;A;4
